movieId,title,genres_clean,overview_clean
6,Judgment Night,Action Thriller Crime,while racing boxing match frank mike john rey get bargained wrong turn lands directly path fallon vicious wisecracking drug lord accidentally witnessing fallon murder disloyal henchman four become unwilling prey savage game cat amp mouse mercilessly stalked through urban jungle taut suspense drama
329,Jurassic Park,Adventure Science Fiction,wealthy entrepreneur secretly creates theme park featuring living dinosaurs drawn prehistoric dna opening day invites team experts two eager grandchildren experience park help calm anxious investors however park anything amusing security systems offline dinosaurs escape
507,Killing Zoe,Action Crime Drama Thriller,zed eric stoltz american vaultcracker travels paris meet old friend eric jeanhugues anglade eric gang planned raid only bank city open bastille day offering services zed soon finds himself trapped situation beyond control heroin abuse poor planning callgirl named zoe conspire turn robbery bloody siege
1413,M. Butterfly,Drama Romance,china french diplomat rene gallimard falls love opera singer song liling song gallimard thinks
2320,Executive Decision,Action Adventure Drama Thriller,terrorists hijack inbound washington demanding release imprisoned leader intelligence expert david grant kurt russell suspects another reason soon reluctant member special assault team assigned intercept plane hijackers
5879,In the Realm of the Senses,Drama Romance,based true story set prewar japan man one servants begin torrid affair desire becomes sexual obsession strong intensify ardor forsake even life itself
788,Mrs. Doubtfire,Comedy Drama Family,loving irresponsible dad daniel hillard estranged exasperated spouse crushed court order allowing only weekly visits kids daniel learns needs housekeeper gets job disguised english nanny soon becomes only childrens best pal kind parent start
1245,The Remains of the Day,Drama Romance,rule bound head butlers world manners decorum household maintains tested arrival housekeeper falls love postwwi britain possibility romance masters cultivation ties nazi cause challenge carefully maintained veneer servitude
7007,Rising Sun,Action Drama Thriller,prostitute found dead los angeles skyscraper occupied large japanese corporation detectives john conner web smith called investigate although conner previous experience working japan cultural differences make progress difficult until security disc showing murder turns close scrutiny proves disc doctored detectives realize theyre dealing coverup well
2088,Romeo Is Bleeding,Action Crime Drama Thriller,corrupt cop gets head tries assassinate beautiful russian hitwoman
424,Schindler's List,Drama History War,true story businessman oskar schindler saved thousand jewish lives nazis while worked slaves factory during world war
695,Short Cuts,Comedy Drama,multistoried fisheyed look american culture characters intersectingprofoundly fleetinglythrough others lives running emotional gamut disturbing humorous altmans portrait contemporary human condition nevertheless fascinating based nine stories prose poem raymond carver
858,Sleepless in Seattle,Comedy Drama Romance,young boy tries set dad date death mother calls radio station talk dads loneliness soon leads dad meeting journalist annie flies seattle write story boy dad yet annie ends story popular romantic comedy
78,Blade Runner,Science Fiction Drama Thriller,smogchoked dystopian los angeles blade runner rick deckard called out retirement terminate quartet replicants escaped earth seeking creator way extend short life spans
319,True Romance,Action Thriller Crime Romance,clarence marries hooker alabama steals cocaine pimp tries sell hollywood while owners coke try reclaim
280,Terminator 2: Judgment Day,Action Thriller Science Fiction,nearly years passed since sarah connor targeted termination cyborg future now son john future leader resistance target newer deadly terminator resistance managed send protector back attempt save john mother sarah
581,Dances with Wolves,Adventure Drama Western,wounded civil war soldier john dunbar tries commit suicide becomes hero instead reward hes assigned dream post remote junction western frontier soon makes unlikely friends local sioux tribe
80350,Tough and Deadly,Thriller Action Drama,private eye helps amnesiac cia agent elude mobsters dont want regain memory drug operation
268,Batman,Fantasy Action,dark knight gotham city begins war crime first major enemy clownishly homicidal joker seized control gothams underworld
274,The Silence of the Lambs,Crime Drama Thriller,fbi trainee clarice starling ventures maximumsecurity asylum pick diseased brain hannibal lecter psychiatrist turned homicidal cannibal starling needs clues help capture serial killer faustian relationship lecter soon leads escape now two deranged killers loose
7300,One Fine Day,Comedy Romance,melanie parker architect mother sammy jack taylor newspaper columnist father maggie divorced meet one morning overwhelmed jack left unexpectedly maggie forgets melanie take school result children miss school field trip stuck parents two adults project negative stereotypes exspouses end needing rely watch children save job humor added sammys propensity lodging objects nose maggies tendency wander
275,Fargo,Crime Drama Thriller,jerry smalltown minnesota car salesman bursting seams debt hes got plan hes going hire two thugs kidnap wife scheme collect hefty ransom wealthy fatherinlaw going snap nobodys going get hurt until people start dying enter police chief marge coffeedrinking parkawearing extremely pregnant investigator wholl stop nothing get man think smalltime investigative skills give crooks run ransom betcha
1592,Primal Fear,Crime Drama Mystery Thriller,arrogant highpowered attorney takes case poor altar boy found running away scene grisly murder bishop taken case gets lot complex accused reveals person room intensity builds surprise twist alters everyones perception crime
2021,Jack & Sarah,Comedy Drama Romance,jack always lands feet lands feet marries beautiful sarah lands feet buys luxurious new home however sarah goes labour takes tumble down stairs lands head comes around discovers proud father baby girl deficient spouse department tune
954,Mission: Impossible,Adventure Action Thriller,ethan hunt leader crack espionage team whose perilous operation gone awry explanation discovers mole penetrated cia hes surprised learn hes suspect clear name hunt now ferret out real double agent process even score
5801,Pather Panchali,Drama,film comingofage story young boy named apu life small indian village early years century apu born poor brahmin family bengal father harihar priest dreams becoming successful poet playwright earn enough mother sarbajaya keeps family going because limited resources sarbajaya resents having share home harihars elderly cousin old helpless cripple indir apus sister durga always getting trouble stealing guavas neighbours orchards indir cares apu like good older sister loves affectionately tease together make enjoy simple joys life
896,The World of Apu,Drama,apu jobless exstudent dreaming vaguely future writer old college friend talks visit upcountry village wedding
2300,Space Jam,Animation Comedy Drama Family Fantasy,desperate attempt win basketball match earn freedom looney tunes seek aid retired basketball champion michael jordan
753,Faces,Drama,old married man leaves wife younger woman shortly exwife begins relationship younger partner
8866,The Truth About Cats & Dogs,Comedy Romance,successful veterinarian radio show host low selfesteem asks model friend impersonate handsome man wants see
922,Dead Man,Drama Fantasy Western,run murdering man accountant william blake encounters strange north american man named nobody prepares journey spiritual world
664,Twister,Action Adventure Drama,weatherman bill harding trying get tornadohunter wife sign divorce papers marry girlfriend melissa mother nature form series intense storms sweeping across oklahoma plans soon three joined team stormchasers attempt insert revolutionary measuring device heart several extremely violent tornados
532,A Close Shave,Family Animation Comedy,wallace falls love woolshop owner wendolene suspecting rather dog head fiendish sheeprustling plot gromit set jailed newfound sheepish friend determine give wallace helping hand finding out real truth
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Drama Comedy War,insane general jack ripper initiates nuclear strike soviet union soon actions general buck turgidson discovered war room full politicians generals russian diplomat frantically try stop nuclear strike near end scene probably uniquely unforgettable performance slim pickens movie career peter sellers plays multiple roles film
627,Trainspotting,Drama Crime,renton deeply immersed edinburgh drug scene tries clean get out despite allure drugs influence friends
1645,A Time to Kill,Crime Drama Thriller,young lawyer defends black man accused murdering two men raped yearold daughter sparking rebirth kkk
4837,La Collectionneuse,Drama Comedy Romance,bombastic womanizing art dealer painter friend seventeenthcentury villa riviera relaxing summer getaway idyll disturbed presence bohemian haydée accused collector men
2925,The First Wives Club,Comedy,years helping hubbies climb ladder success three midlife manhattanites dumped newer curvier model trio determined turn pain gain come cleverly devious plan hit exes really hurts wallet
3573,Emma,Drama Comedy Romance,emma woodhouse congenial young lady delights meddling peoples affairs perpetually trying unite men women utterly wrong despite interest romance emma clueless own feelings relationship gentle knightly
549,Basquiat,Drama History,director julian schnabel illustrates portrait friend first africanamerican pop artist jeanmichel basquiat unfortunately died young age beginning make name himself art world alongside biography basquiat artists art scene early new york
238,The Godfather,Drama Crime,spanning years chronicle fictional italianamerican corleone crime family organized crime family patriarch vito corleone barely survives attempt life youngest son michael steps take care wouldbe killers launching campaign bloody revenge
159,Maybe... Maybe Not,Comedy Drama,der bewegte mann german comedy heterosexual man axel thrown out girlfriends home cheating ends moving gay man axel learns advantages living gay men even though attracted girlfriend wants back make tough decision
2769,An American in Paris,Drama Comedy Music Romance,jerry mulligan exuberant american expatriate paris trying make reputation painter friend adam struggling concert pianist whos long time associate famous french singer henri baurel lonely society woman milo roberts takes jerry wing supports interested art
164,Breakfast at Tiffany's,Comedy Drama Romance,fortune hunter holly golightly finds herself captivated aspiring writer paul varjak whos moved building wealthy womans dime romance blooms paul holly doc golightly shows scene revealing hollys past
426,Vertigo,Mystery Romance Thriller,retired san francisco detective suffering acrophobia investigates strange activities old friends wife while becoming dangerously obsessed
567,Rear Window,Drama Mystery Thriller,professional photographer jeff jeffries breaks leg while getting action shot auto race confined new york apartment spends time looking out rear window observing neighbors begins suspect man across courtyard murdered wife jeff enlists help high society fashionconsultant girlfriend lisa freemont visiting nurse stella investigate
3078,It Happened One Night,Comedy Romance,ellie andrews tied knot society aviator king westley whisked away fathers yacht out kings clutches ellie jumps ship eventually winds bus headed back husband reluctantly accept help outof work reporter peter warne actually warne doesnt give choice either sticks until gets back husband hell blow whistle ellie father either way peter gets wants really juicy newspaper story
213,North by Northwest,Mystery Thriller,advertising man roger thornhill mistaken spy triggering deadly crosscountry chase
239,Some Like It Hot,Comedy Romance,two musicians witness mob hit struggle find way out city found gangsters only opportunity join allgirl band leave tour make getaway first disguise themselves women keep identities secret deal problems brings such attractive bandmate determined suitor
289,Casablanca,Drama Romance,casablanca morocco december cynical american expatriate meets former lover unforeseen complications
963,The Maltese Falcon,Mystery Crime Thriller,private detective takes case involves three eccentric criminals gorgeous liar quest priceless statuette
6620,Sabrina,Comedy Drama Romance,linus david larrabee two sons wealthy family linus work busily running family corporate empire time wife family david play technically employed family business never shows work spends time entertaining married divorced three times meanwhile sabrina fairchild young shy awkward daughter household chauffeur infatuated david life david hardly notices doesnt even know exist until goes away paris two years returns elegant sophisticated beautiful woman suddenly finds captured davids attention finds herself falling love linus finds linus falling love
